time,sfe,ssip,rfip,type
"22/10/2024, 12:28:22",62,10,1.0,0
"22/10/2024, 12:28:07",66,10,1.0,0
"22/10/2024, 12:28:10",70,10,1.0,0
"22/10/2024, 12:28:13",72,10,1.0,0
"22/10/2024, 12:28:10",76,10,1.0,0
"22/10/2024, 12:28:19",78,10,1.0,0
"22/10/2024, 12:28:22",84,10,1.0,0
"22/10/2024, 12:28:25",84,10,1.0,0
"22/10/2024, 12:28:28",84,10,1.0,0
"22/10/2024, 12:28:31",88,10,1.0,0
"22/10/2024, 12:28:34",88,10,1.0,0
"22/10/2024, 12:28:37",88,10,1.0,0
"22/10/2024, 12:28:40",88,10,1.0,0
"22/10/2024, 12:28:43",90,10,1.0,0
"22/10/2024, 12:28:46",90,10,1.0,0
"22/10/2024, 12:28:49",90,10,1.0,0
"22/10/2024, 12:28:52",90,10,1.0,0
"22/10/2024, 12:28:55",90,10,1.0,0
"22/10/2024, 12:28:58",90,10,1.0,0
"22/10/2024, 12:29:01",90,10,1.0,0
"22/10/2024, 12:29:22",90,10,1.0,0
"22/10/2024, 12:29:07",90,10,1.0,0
"22/10/2024, 12:29:10",90,10,1.0,0
"22/10/2024, 12:29:13",90,10,1.0,0
"22/10/2024, 12:29:10",90,10,1.0,0
"22/10/2024, 12:29:19",90,10,1.0,0
"22/10/2024, 12:29:22",90,10,1.0,0
"22/10/2024, 12:29:25",90,10,1.0,0
"22/10/2024, 12:29:28",90,10,1.0,0
"22/10/2024, 12:29:31",90,10,1.0,0
"22/10/2024, 12:29:34",90,10,1.0,0
"22/10/2024, 12:29:37",90,10,1.0,0
"22/10/2024, 12:29:40",90,10,1.0,0
"22/10/2024, 12:29:43",90,10,1.0,0
"22/10/2024, 12:29:46",90,10,1.0,0
"22/10/2024, 12:29:49",90,10,1.0,0
"22/10/2024, 12:29:52",90,10,1.0,0
"22/10/2024, 12:29:55",90,10,1.0,0
"22/10/2024, 12:29:58",90,10,1.0,0
"22/10/2024, 12:30:01",90,10,1.0,0
"22/10/2024, 12:30:22",90,10,1.0,0
"22/10/2024, 12:30:07",90,10,1.0,0
"22/10/2024, 12:30:10",0,0,1.0,0
"22/10/2024, 12:30:13",90,10,1.0,0
"22/10/2024, 12:30:10",90,10,1.0,0
"22/10/2024, 12:30:19",90,10,1.0,0
"22/10/2024, 12:30:22",90,10,1.0,0
"22/10/2024, 12:30:25",90,10,1.0,0
"22/10/2024, 12:30:28",90,10,1.0,0
"22/10/2024, 12:30:31",90,10,1.0,0
"22/10/2024, 12:30:34",90,10,1.0,0
"22/10/2024, 12:30:37",90,10,1.0,0
"22/10/2024, 12:30:40",90,10,1.0,0
"22/10/2024, 12:30:43",90,10,1.0,0
"22/10/2024, 12:30:46",90,10,1.0,0
"22/10/2024, 12:30:49",90,10,1.0,0
"22/10/2024, 12:30:52",90,10,1.0,0
"22/10/2024, 12:30:55",90,10,1.0,0
"22/10/2024, 12:30:58",90,10,1.0,0
"22/10/2024, 12:31:01",90,10,1.0,0
"22/10/2024, 12:31:22",90,10,1.0,0
"22/10/2024, 12:31:07",90,10,1.0,0
"22/10/2024, 12:31:10",90,10,1.0,0
"22/10/2024, 12:31:13",90,10,1.0,0
"22/10/2024, 12:31:10",90,10,1.0,0
"22/10/2024, 12:31:19",90,10,1.0,0
"22/10/2024, 12:31:22",90,10,1.0,0
"22/10/2024, 12:31:25",90,10,1.0,0
"22/10/2024, 12:31:28",90,10,1.0,0
"22/10/2024, 12:31:31",90,10,1.0,0
"22/10/2024, 12:31:34",90,10,1.0,0
"22/10/2024, 12:31:37",90,10,1.0,0
"22/10/2024, 12:31:40",90,10,1.0,0
"22/10/2024, 12:31:43",90,10,1.0,0
"22/10/2024, 12:31:46",90,10,1.0,0
"22/10/2024, 12:31:49",90,10,1.0,0
"22/10/2024, 12:31:52",90,10,1.0,0
"22/10/2024, 12:31:55",90,10,1.0,0
"22/10/2024, 12:31:58",90,10,1.0,0
"22/10/2024, 12:32:01",90,10,1.0,0
"22/10/2024, 12:32:22",90,10,1.0,0
"22/10/2024, 12:32:07",90,10,1.0,0
"22/10/2024, 12:32:10",90,10,1.0,0
"22/10/2024, 12:32:13",90,10,1.0,0
"22/10/2024, 12:32:10",90,10,1.0,0
"22/10/2024, 12:32:19",90,10,1.0,0
"22/10/2024, 12:32:22",90,10,1.0,0
"22/10/2024, 12:32:25",90,10,1.0,0
"22/10/2024, 12:32:28",90,10,1.0,0
"22/10/2024, 12:32:31",90,10,1.0,0
"22/10/2024, 12:32:34",90,10,1.0,0
"22/10/2024, 12:32:37",90,10,1.0,0
"22/10/2024, 12:32:40",90,10,1.0,0
"22/10/2024, 12:32:43",90,10,1.0,0
"22/10/2024, 12:32:46",90,10,1.0,0
"22/10/2024, 12:32:49",90,10,1.0,0
"22/10/2024, 12:32:52",90,10,1.0,0
"22/10/2024, 12:32:55",90,10,1.0,0
"22/10/2024, 12:32:58",90,10,1.0,0
"22/10/2024, 12:33:01",90,10,1.0,0
"22/10/2024, 12:33:22",90,10,1.0,0
"22/10/2024, 12:33:07",90,10,1.0,0
"22/10/2024, 12:33:10",90,10,1.0,0
"22/10/2024, 12:33:13",90,10,1.0,0
"22/10/2024, 12:33:10",90,10,1.0,0
"22/10/2024, 12:33:19",90,10,1.0,0
